,0,1,2,3,4,5,6
"(frozenset({'CALM1'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM3'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM2'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CAV1'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'MDFI'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'ITPR2'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'STIM1'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC3'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'TRPC4'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC4'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'TRPC5'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC5'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'PKD2'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'PKD2'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'TRPV4'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPV4'}), frozenset({'TRPC1'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC1'}), frozenset({'TRPV6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM1'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM3'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM2'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'EPOR'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'ITPR1'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'ITPR3'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'ORAI1'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'PRKG1'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPM4'}), frozenset({'TRPC3'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'SLC9A3R1'}), frozenset({'TRPC4'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'TRPC5'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM1'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM3'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'CALM2'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'FYN'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'MX1'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'RNF24'}), frozenset({'TRPC6'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
"(frozenset({'PRKG1'}), frozenset({'TRPC7'}))",0.0,0.0,0.0,0.0,0.0,0.0,0.0
