i,id,opt_flux,min_rxn
0,EX_2hb_e,100.89230387215594,207.00004384651027
1,EX_ac_e,100.89230387215562,207.00004380812305
2,EX_acac_e,100.80501513081464,204.00004381517306
3,EX_akg_e,100.89230387215564,207.0000438261111
4,EX_ala_B_e,100.89230387215555,207.00004384011083
5,EX_ala_L_e,100.87799359723672,205.00004374560567
6,EX_arg_L_e,100.87501109771534,204.00000586641528
7,EX_argsuc_e,100.89230387215562,207.00004380846002
8,EX_asn_L_e,100.87529089453395,204.0000438372241
9,EX_asp_L_e,100.62629856007646,204.00005331050554
10,EX_bhb_e,100.8344159682852,203.0000438310217
11,EX_bilirub_e,100.89230387215562,207.00004387512104
12,EX_biomass_e,0.0,0.0
13,EX_but_e,100.89230387215554,207.00004380825368
14,EX_chol_e,100.89230387215564,207.0000438228255
15,EX_cit_e,100.89230387215564,207.0000438520879
16,EX_citr_L_e,100.89230387215564,207.00004380846002
17,EX_co_e,100.89230387215562,207.00004387512104
18,EX_co2_e,12.916868239866858,181.00004599129625
19,EX_creat_e,100.89230387215555,207.00004384011083
20,EX_cyan_e,100.89230387215594,207.0000438765643
21,EX_cys_L_e,100.89082419601519,198.00004184175538
22,EX_etoh_e,100.89230387215555,207.00004384011083
23,EX_fe2_e,100.89230387215564,207.00004380290875
24,EX_for_e,100.89230387215567,207.00004385189055
25,EX_fum_e,100.89230387215555,207.0000438330386
26,EX_glc_D_e,97.40185979214647,201.00004388426862
27,EX_gln_L_e,100.89230387215557,207.00004384011083
28,EX_glu_L_e,100.89230387215562,207.0000438434344
29,EX_gly_e,100.8839669268448,205.00004385188075
30,EX_glyc_e,100.87294187575012,203.0000438025611
31,EX_h_e,99.341099932917,190.00004187440737
32,EX_h2o_e,84.27054152662792,177.0000607741228
33,EX_HC00250_e,100.89230387215557,207.0000438026384
34,EX_hco3_e,100.86371017466652,197.0000435185751
35,EX_hdca_e,49.91050423765515,272.0000708135958
36,EX_his_L_e,100.87124622475015,204.00000884877616
37,EX_icit_e,100.89230387215555,207.0000438027411
38,EX_ile_L_e,100.88675038639352,202.00000879601177
39,EX_lac_L_e,100.35230090215278,204.00004387909954
40,EX_leu_L_e,100.8817656047827,202.00000879198743
41,EX_lys_L_e,100.82640232599326,202.0000088292298
42,EX_mal_L_e,100.89230387215576,207.0000438445552
43,EX_mercplac_e,100.89230387215564,207.0000438696274
44,EX_met_L_e,100.89230387215592,211.00000875975428
45,EX_nad_e,100.89230387215555,207.00004384011083
46,EX_nadh_e,100.89230387215555,207.00004384011083
47,EX_nh4_e,100.4794679320681,129.0000019452489
48,EX_no_e,100.89230387215564,207.00004381779056
49,EX_o2_e,1.846509909909828,102.00003696679971
50,EX_oaa_e,100.89230387215564,207.00004379413986
51,EX_pchol_hs_e,100.89230387215576,207.00004380128786
52,EX_pcreat_e,100.89230387215555,207.00004384011083
53,EX_pe_hs_e,100.89230387215564,207.00004381791172
54,EX_phe_L_e,100.89230387215581,211.00000879520277
55,EX_pi_e,100.89230387215534,207.00004380204462
56,EX_ppa_e,100.89230387215574,207.0000437964021
57,EX_pro_L_e,100.88672501106383,201.0000508714064
58,EX_ps_hs_e,100.89230387215564,207.0000438087774
59,EX_ser_L_e,100.86912099627708,200.0000888228731
60,EX_so3_e,100.892255223507,206.00004181238447
61,EX_succ_e,100.89230387215555,207.00004384127175
62,EX_tcynt_e,100.89230387215594,207.0000438765643
63,EX_thr_L_e,100.88428315116127,206.00000880096553
64,EX_trp_L_e,100.89230387215575,211.00000883833619
65,EX_tsul_e,100.8922552235071,206.00004176949713
66,EX_tyr_L_e,100.89230387215565,207.00004378203607
67,EX_urea_e,100.87501109771526,204.00000588834536
68,EX_val_L_e,100.88204835376114,201.00000878784354
69,EX_fol_e,100.89230387215554,207.00004384642625
70,OF_ATP_MitoCore,12.386111111110871,224.00007999359536
71,OF_HEME_MitoCore,100.89230387215564,207.00004380290875
72,OF_LIPID_MitoCore,100.89230387215564,207.00004381791172
73,OF_PROTEIN_MitoCore,100.89230387215568,211.0000087649499
74,HEX1,97.40185979214647,201.00004388426862
75,G6PPer,100.89230387215555,207.00004384011083
76,PGI,97.84603900999088,237.0000563006875
77,PFK,97.45029291824453,206.00004737264672
78,FBP,100.89230387215555,207.00004384011083
79,FBA,97.45029291824453,206.00004737264672
80,TPI,97.43093092183905,201.00004736414124
81,GAPD,97.38249779574095,192.00004383995994
82,PGK,97.38249779574095,192.00004383995994
83,PGM,97.52146975269083,207.00004599706182
84,ENO,97.52146975269083,207.00004599706182
85,PYK,100.89230387215564,208.00004384759336
86,r0122,100.89230387215568,207.00004383976196
87,PEPCK,100.89230387215561,207.0000438284403
88,LDH_L,100.35230090215278,204.00004387909954
89,G6PDH2r,100.89230387215574,207.0000438468612
90,PGL,100.89230387215574,207.0000438468612
91,GND,100.89230387215574,207.0000438468612
92,RPI,100.89230387215572,207.0000438468612
93,RPE,100.8923038721558,207.00004385191392
94,TKT1,100.89230387215572,207.0000438468612
95,TALA,100.89230387215572,207.0000438468612
96,TKT2,100.89230387215572,207.0000438468612
97,PDHm,98.4927588944543,194.00007687347278
98,CSm,6.581457531655777,186.00006398705256
99,ACONTm,99.0374844711101,198.00006285265715
100,ICDHxm,95.94602724560954,197.00005630237197
101,ICDHyrm,100.89230387215545,207.00004381195382
102,AKGDm,95.92277328429472,215.00004599502353
103,SUCOAS1m,100.89230387215586,207.00004384342856
104,SUCOASm,100.89230387215586,207.0000438539854
105,FUMm,97.52314382515205,208.00004483013004
