,exp,lambda,avg_flux,size_union
0,0,0.001,43.06057565119467,277
1,1,0.001,59.81434366342033,305
2,2,0.001,66.46024251852812,312
3,3,0.001,59.86860213516408,233
4,4,0.001,86.19838753596244,210
5,0,0.002629024197567716,43.06057565119468,277
6,1,0.002629024197567716,59.80616872445653,268
7,2,0.002629024197567716,66.45179959877895,279
8,3,0.002629024197567716,59.86766565976744,226
9,4,0.002629024197567716,86.19838753596241,210
10,0,0.006911768231396572,43.04970928823918,255
11,1,0.006911768231396572,59.80242050127842,261
12,2,0.006911768231396572,66.45040361195335,273
13,3,0.006911768231396572,59.84723873001387,191
14,4,0.006911768231396572,86.18193439124079,182
15,0,0.018171205928321398,43.01114294788276,233
16,1,0.018171205928321398,59.76734230247242,242
17,2,0.018171205928321398,66.43516641361995,263
18,3,0.018171205928321398,59.83050629372831,176
19,4,0.018171205928321398,86.11959666081826,131
20,0,0.04777254008454289,42.94143642426536,218
21,1,0.04777254008454289,59.659736388243736,213
22,2,0.04777254008454289,66.29315628494359,224
23,3,0.04777254008454289,59.69304119661796,141
24,4,0.04777254008454289,86.0206324565252,109
25,0,0.12559516386153688,42.24021584817944,146
26,1,0.12559516386153688,59.06103468976676,154
27,2,0.12559516386153688,65.63703164224725,157
28,3,0.12559516386153688,59.434243498833716,110
29,4,0.12559516386153688,85.95607055391427,103
30,0,0.3301927248894628,41.566393252781296,112
31,1,0.3301927248894628,58.24127437403959,111
32,2,0.3301927248894628,64.688285890453,112
33,3,0.3301927248894628,59.196610035822005,101
34,4,0.3301927248894628,85.71748127606824,92
35,0,0.8680846635952174,41.13084602976342,106
36,1,0.8680846635952174,57.94148225123878,107
37,2,0.8680846635952174,64.31965624386189,107
38,3,0.8680846635952174,55.92761553957207,70
39,4,0.8680846635952174,83.63040434373917,72
40,0,2.2822155861292566,38.10677666648863,90
41,1,2.2822155861292566,54.7237102703407,86
42,2,2.2822155861292566,62.50570180615469,96
43,3,2.2822155861292566,55.63002701411398,68
44,4,2.2822155861292566,83.63040434373917,72
45,0,6.0,0.0,0
46,1,6.0,0.0,0
47,2,6.0,0.0,0
48,3,6.0,54.961108095195065,67
49,4,6.0,83.63040434373917,72
