,exp,lambda,avg_flux,size_union,single
0,0,0.001,30.5935173286269,190,True
1,1,0.001,49.724599400005744,134,True
2,2,0.001,97.37068973001172,137,True
3,3,0.001,49.592707992594946,143,True
4,4,0.001,97.92540079485752,147,True
5,0,0.0015240751494606396,30.59077019501668,187,True
6,1,0.0015240751494606396,49.70984281693467,120,True
7,2,0.0015240751494606396,97.3507036155383,107,True
8,3,0.0015240751494606396,49.570511308667776,112,True
9,4,0.0015240751494606396,97.89351472816244,120,True
10,0,0.0023228050612034688,30.586764738311302,185,True
11,1,0.0023228050612034688,49.69478150274949,110,True
12,2,0.0023228050612034688,97.32058098716794,98,True
13,3,0.0023228050612034688,49.5554499944826,102,True
14,4,0.0023228050612034688,97.87845341397733,110,True
15,0,0.003540129470821607,30.571906600498323,179,True
16,1,0.003540129470821607,49.67955327437557,104,True
17,2,0.003540129470821607,97.30446036525166,86,True
18,3,0.003540129470821607,49.55223018262583,97,True
19,4,0.003540129470821607,97.87523360212049,105,True
20,0,0.00539542335235245,30.537343870322587,179,True
21,1,0.00539542335235245,49.528421049690635,86,True
22,2,0.00539542335235245,97.28065123231647,88,True
23,3,0.00539542335235245,49.55223019035567,97,True
24,4,0.00539542335235245,97.85650440828451,103,True
25,0,0.008223030652139985,30.477434807764162,170,True
26,1,0.008223030652139985,49.504116663829706,85,True
27,2,0.008223030652139985,97.20823332765941,74,True
28,3,0.008223030652139985,49.504116663829706,85,True
29,4,0.008223030652139985,97.75232173983477,89,True
30,0,0.012532516670179664,30.414227106680602,167,True
31,1,0.012532516670179664,49.48696378779857,77,True
32,2,0.012532516670179664,97.17392757559715,66,True
33,3,0.012532516670179664,49.48696378779857,77,True
34,4,0.012532516670179664,97.67292616290878,79,True
35,0,0.01910049721722202,30.138432567445157,144,True
36,1,0.01910049721722202,49.458019835863304,74,True
37,2,0.01910049721722202,97.11603967172661,63,True
38,3,0.01910049721722202,49.458019835863304,74,True
39,4,0.01910049721722202,97.61503825903824,76,True
40,0,0.029110593151110167,30.125250444208184,142,True
41,1,0.029110593151110167,49.41437557268763,70,True
42,2,0.029110593151110167,97.02875103775676,61,True
43,3,0.029110593151110167,49.41437546519353,70,True
44,4,0.029110593151110167,97.52774951767682,73,True
45,0,0.04436673160766608,29.192866916867963,117,True
46,1,0.04436673160766608,49.283375537505975,66,True
47,2,0.04436673160766608,96.76675107501195,55,True
48,3,0.04436673160766608,49.283375669408656,66,True
49,4,0.04436673160766608,97.39674959001047,67,True
50,0,0.06761823310603374,28.89600157680575,109,True
51,1,0.06761823310603374,49.01337405250939,60,True
52,2,0.06761823310603374,96.22674810501388,49,True
53,3,0.06761823310603374,49.01337405250449,60,True
54,4,0.06761823310603374,97.12674810500897,60,True
55,0,0.10305526872734268,27.8006501821803,80,True
56,1,0.10305526872734268,48.11337405250841,49,True
57,2,0.10305526872734268,96.2267481050129,49,True
58,3,0.10305526872734268,48.11337405250449,49,True
59,4,0.10305526872734268,97.12674810500897,60,True
60,0,0.15706397408833117,22.250045003644967,51,True
61,1,0.15706397408833117,48.11337405250492,49,True
62,2,0.15706397408833117,96.22674810501005,49,True
63,3,0.15706397408833117,48.113374052505115,49,True
64,4,0.15706397408833117,96.2267481050096,49,True
65,0,0.23937729978355513,22.25004500355496,50,True
66,1,0.23937729978355513,48.11337405250492,49,True
67,2,0.23937729978355513,96.22674810500942,49,True
68,3,0.23937729978355513,48.11337405250449,49,True
69,4,0.23937729978355513,96.22674810499313,49,True
70,0,0.36482899394510615,20.48045823366369,43,True
71,1,0.36482899394510615,48.11337405250492,49,True
72,2,0.36482899394510615,96.22674810500942,49,True
73,3,0.36482899394510615,48.11337405250449,49,True
74,4,0.36482899394510615,96.22674810500897,49,True
75,0,0.5560268034744619,18.372322947324346,38,True
76,1,0.5560268034744619,48.11337405250492,49,True
77,2,0.5560268034744619,96.22674810500942,49,True
78,3,0.5560268034744619,48.11337405250449,49,True
79,4,0.5560268034744619,96.22674810500897,49,True
80,0,0.8474266336094621,0.0,0,True
81,1,0.8474266336094621,48.11337405250492,49,True
82,2,0.8474266336094621,96.22674810500942,49,True
83,3,0.8474266336094621,48.11337405250449,49,True
84,4,0.8474266336094621,96.22674810500898,49,True
85,0,1.2915418732752677,0.0,0,True
86,1,1.2915418732752677,48.11337405250492,49,True
87,2,1.2915418732752677,96.22674810500942,49,True
88,3,1.2915418732752677,48.11337405250449,49,True
89,4,1.2915418732752677,96.22674810500898,49,True
90,0,1.9684068735466762,0.0,0,True
91,1,1.9684068735466762,0.0,0,True
92,2,1.9684068735466762,0.0,0,True
93,3,1.9684068735466762,0.0,0,True
94,4,1.9684068735466762,0.0,0,True
95,0,3.0,0.0,0,True
96,1,3.0,0.0,0,True
97,2,3.0,0.0,0,True
98,3,3.0,0.0,0,True
99,4,3.0,0.0,0,True
