,exp,lambda,avg_flux,size_union
0,0,0.0,52.452545764458996,268
1,1,0.0,66.70047457571769,264
2,2,0.0,84.38132293245894,249
3,3,0.0,73.41694846142866,240
4,4,0.0,73.494736863833,237
5,5,0.0,80.23609713330107,306
6,6,0.0,57.94735454664797,270
7,7,0.0,82.10407629368326,269
8,8,0.0,53.507516499451725,269
9,9,0.0,28.64609665627466,326
10,0,0.001,52.45238765635071,242
11,1,0.001,66.69770651121866,221
12,2,0.001,84.38117698651396,224
13,3,0.001,73.4160524845503,212
14,4,0.001,73.49470037734676,220
15,5,0.001,80.23299370319751,266
16,6,0.001,57.94643103167907,240
17,7,0.001,82.10387434985697,245
18,8,0.001,53.50554437952579,233
19,9,0.001,28.645938548163542,300
20,0,0.0015240751494606396,52.452387656350695,245
21,1,0.0015240751494606396,66.69478731827881,213
22,2,0.0015240751494606396,84.38117698651396,221
23,3,0.0015240751494606396,73.4160524845502,213
24,4,0.0015240751494606396,73.49386538566515,209
25,5,0.0015240751494606396,80.23162629931761,257
26,6,0.0015240751494606396,57.946431031678856,239
27,7,0.0015240751494606396,82.10387434985695,241
28,8,0.0015240751494606396,53.50175596064555,222
29,9,0.0015240751494606396,28.645938548163556,298
30,0,0.0023228050612034688,52.45202989947772,243
31,1,0.0023228050612034688,66.66917201776454,164
32,2,0.0023228050612034688,84.38117698651396,223
33,3,0.0023228050612034688,73.40825686214491,193
34,4,0.0023228050612034688,73.49018187569506,201
35,5,0.0023228050612034688,80.22909653718784,254
36,6,0.0023228050612034688,57.941375811732335,230
37,7,0.0023228050612034688,82.10387434985695,242
38,8,0.0023228050612034688,53.49454954647038,204
39,9,0.0023228050612034688,28.64593854816355,298
40,0,0.003540129470821607,52.45202989947773,242
41,1,0.003540129470821607,66.66917201776454,162
42,2,0.003540129470821607,84.37590785282742,211
43,3,0.003540129470821607,73.38653908432926,164
44,4,0.003540129470821607,73.46408411568049,164
45,5,0.003540129470821607,80.22909653718784,252
46,6,0.003540129470821607,57.940654240589026,229
47,7,0.003540129470821607,82.09788866638667,231
48,8,0.003540129470821607,53.49373002150023,200
49,9,0.003540129470821607,28.645938548163542,298
50,0,0.00539542335235245,52.45202989947772,241
51,1,0.00539542335235245,66.64661558136316,144
52,2,0.00539542335235245,84.36370060942659,201
53,3,0.00539542335235245,73.3812253077025,159
54,4,0.00539542335235245,73.44213435901477,145
55,5,0.00539542335235245,80.2118937885851,238
56,6,0.00539542335235245,57.93575528584225,225
57,7,0.00539542335235245,82.0921930808322,225
