,exp,lambda,avg_flux,size_union
0,0,0.001,43.06057565119467,277
1,1,0.001,59.81434366342033,305
2,2,0.001,66.46024251852812,312
3,3,0.001,59.86860213516408,233
4,4,0.001,86.19838753596244,210
5,0,0.0015240751494606396,43.060575651194675,278
6,1,0.0015240751494606396,59.81478698204356,303
7,2,0.0015240751494606396,66.46009893744704,313
8,3,0.0015240751494606396,59.86752207868636,225
9,4,0.0015240751494606396,86.19797985242974,210
10,0,0.0023228050612034688,43.060575651194654,276
11,1,0.0023228050612034688,59.80616872445654,269
12,2,0.0023228050612034688,66.45179959877895,279
13,3,0.0023228050612034688,59.86752207868635,225
14,4,0.0023228050612034688,86.19934166711273,221
15,0,0.003540129470821607,43.060575651194675,276
16,1,0.003540129470821607,59.80616872445654,267
17,2,0.003540129470821607,66.45179959877895,276
18,3,0.003540129470821607,59.86752207868635,224
19,4,0.003540129470821607,86.19446322381643,204
20,0,0.00539542335235245,43.05359072040865,260
21,1,0.00539542335235245,59.80616872445653,266
22,2,0.00539542335235245,66.45179959877895,276
23,3,0.00539542335235245,59.8607936582671,211
24,4,0.00539542335235245,86.19444002794027,200
25,0,0.008223030652139985,43.049709288239185,255
26,1,0.008223030652139985,59.802420501278434,261
27,2,0.008223030652139985,66.45040361195335,273
28,3,0.008223030652139985,59.84723873001386,191
29,4,0.008223030652139985,86.17403129081595,172
30,0,0.012532516670179664,43.041339248794685,248
31,1,0.012532516670179664,59.80242050127843,261
32,2,0.012532516670179664,66.43960576794761,266
33,3,0.012532516670179664,59.83050629372831,176
34,4,0.012532516670179664,86.12277594009754,133
35,0,0.01910049721722202,43.01114294788276,233
36,1,0.01910049721722202,59.76734230247243,242
37,2,0.01910049721722202,66.43516641361995,263
38,3,0.01910049721722202,59.83050629372831,176
39,4,0.01910049721722202,86.11959666081826,131
40,0,0.029110593151110167,43.00531185330166,231
41,1,0.029110593151110167,59.70339361394987,222
42,2,0.029110593151110167,66.3725588637374,242
43,3,0.029110593151110167,59.79226972395995,162
44,4,0.029110593151110167,86.09690303904455,124
45,0,0.04436673160766608,42.94143642426536,218
46,1,0.04436673160766608,59.65973638824373,213
47,2,0.04436673160766608,66.29315628494359,224
48,3,0.04436673160766608,59.69304119661796,141
49,4,0.04436673160766608,86.02063245652519,109
50,0,0.06761823310603374,42.86661448049233,209
51,1,0.06761823310603374,59.65973638824374,213
52,2,0.06761823310603374,66.12468313531502,198
53,3,0.06761823310603374,59.583488331476104,125
54,4,0.06761823310603374,86.0064956994037,107
55,0,0.10305526872734268,42.28701116948562,149
56,1,0.10305526872734268,59.10754564620163,157
57,2,0.10305526872734268,65.63703164224725,157
58,3,0.10305526872734268,59.44829079613101,111
59,4,0.10305526872734268,85.95607055391427,103
60,0,0.15706397408833117,41.81574024527177,122
61,1,0.15706397408833117,58.47408490540013,121
62,2,0.15706397408833117,65.18419914311448,132
63,3,0.15706397408833117,59.415499866790086,109
64,4,0.15706397408833117,85.87996914822219,99
65,0,0.23937729978355513,41.63882888066693,114
66,1,0.23937729978355513,58.24127437403959,111
67,2,0.23937729978355513,64.688285890453,112
68,3,0.23937729978355513,59.196610035822005,101
69,4,0.23937729978355513,85.71748127606824,92
70,0,0.36482899394510615,41.566393252781296,112
71,1,0.36482899394510615,58.24127437403959,111
72,2,0.36482899394510615,64.688285890453,112
73,3,0.36482899394510615,59.196610035822005,101
74,4,0.36482899394510615,85.71748127606824,92
75,0,0.5560268034744619,41.5663932527813,112
76,1,0.5560268034744619,58.24127437403959,111
77,2,0.5560268034744619,64.688285890453,112
78,3,0.5560268034744619,59.196610035822005,101
79,4,0.5560268034744619,85.71748127606824,92
80,0,0.8474266336094621,41.13084602976342,106
81,1,0.8474266336094621,57.94148225123878,107
82,2,0.8474266336094621,64.31965624386189,107
83,3,0.8474266336094621,55.92761553957206,70
84,4,0.8474266336094621,83.63040434373917,72
85,0,1.2915418732752677,40.53316886697321,102
86,1,1.2915418732752677,55.503223053386094,89
87,2,1.2915418732752677,63.72039835251704,103
88,3,1.2915418732752677,55.63002701411398,68
89,4,1.2915418732752677,83.63040434373917,72
90,0,1.9684068735466762,38.10677666648862,90
91,1,1.9684068735466762,55.503223053386094,89
92,2,1.9684068735466762,62.50570180615469,96
93,3,1.9684068735466762,55.63002701411398,68
94,4,1.9684068735466762,83.63040434373917,72
95,0,3.0,38.10677666648862,90
96,1,3.0,54.7237102703407,86
97,2,3.0,59.069121028794214,86
98,3,3.0,55.63002701411398,68
99,4,3.0,83.63040434373917,72
