Rxn name,opi3-del vs. wt,ram1-del vs. wt,cho2-del vs. wt,aco1-del vs. wt,pfk2-del vs. wt,ipk1-del vs. wt,vps15-del vs. wt,sis2-del vs. wt,arg82-del vs. wt,plc1-del vs. wt,rnr4-del vs. wt,pfk27-del vs. wt
r_0177,-1,0,0,-1,-1,0,-1,0,1,0,0,0
r_0178,1,1,1,1,1,1,1,1,0,1,0,1
r_0179,1,1,0,1,1,0,0,1,1,0,0,1
r_0180,0,0,0,1,0,0,0,0,1,0,0,1
r_0181,0,0,0,0,0,0,0,0,0,0,0,0
r_0182,1,1,0,1,1,0,0,1,1,0,0,1
r_0183,0,0,0,1,0,0,0,0,1,0,0,1
r_0184,0,0,0,0,0,0,0,0,0,0,0,0
r_0185,1,1,1,1,1,1,1,1,0,1,1,1
r_0186,1,1,0,1,1,0,0,1,1,0,0,1
r_0187,0,0,0,1,0,0,0,0,1,0,0,1
r_0188,1,0,0,0,1,0,0,0,1,1,0,0
r_0189,1,0,1,0,0,0,1,0,0,0,0,0
r_0190,1,0,0,0,0,0,0,0,0,0,1,0
r_0191,1,1,1,1,1,0,1,0,1,0,1,1
r_0192,1,1,1,0,0,0,1,0,0,0,0,0
r_0193,1,1,1,1,1,1,1,1,1,1,1,1
r_0194,1,1,1,1,1,1,1,1,-1,1,1,1
r_0195,0,0,0,0,0,0,0,0,-1,0,0,0
r_0198,1,0,1,1,1,0,0,1,0,0,1,1
r_0199,1,1,1,1,0,0,1,0,1,0,1,1
r_0200,0,0,0,0,0,0,0,0,0,0,0,0
r_0201,1,1,1,1,1,1,1,1,0,1,0,1
r_0202,-1,-1,0,0,0,0,0,0,0,0,0,0
r_0203,0,-1,0,0,0,0,0,0,0,0,0,0
r_0204,0,0,0,0,0,0,0,0,0,0,0,0
r_0205,1,1,1,1,1,1,1,1,0,1,1,0
r_0206,1,0,1,1,0,1,1,0,-1,1,1,0
r_0207,1,0,1,1,0,0,0,0,0,-1,0,1
r_0208,0,-1,0,1,0,0,-1,1,1,0,1,1
r_0209,0,-1,0,0,0,0,0,0,0,0,0,0
r_0210,0,0,0,0,0,0,0,0,0,0,0,0
r_0211,0,-1,0,1,0,0,0,0,0,0,1,1
r_0212,-1,-1,0,0,0,0,0,0,0,0,0,0
r_0213,0,0,0,0,0,0,0,0,0,0,0,0
r_0214,0,0,0,0,0,0,0,0,0,0,0,0
r_0215,0,0,0,0,0,-1,0,0,0,0,0,0
r_0216,0,0,0,1,0,0,0,1,0,0,1,1
r_0217,-1,-1,0,-1,0,0,0,-1,0,0,-1,0
r_0218,0,0,0,1,0,0,0,1,0,0,1,1
r_0219,0,0,0,0,0,0,0,0,0,-1,0,0
r_0220,0,0,0,0,0,0,0,0,0,0,0,0
r_0221,0,1,0,0,0,0,0,0,-1,0,0,0
r_0222,1,0,1,0,0,0,0,0,0,1,0,0
r_0223,0,0,0,0,0,0,0,0,0,0,0,0
r_0224,0,0,0,0,0,0,0,0,0,0,0,0
r_0225,-1,-1,-1,0,-1,-1,0,0,1,0,0,0
r_0226,0,0,0,-1,0,0,0,-1,-1,0,-1,-1
r_0227,0,0,0,0,0,0,0,0,0,0,0,0
r_0228,0,0,0,0,0,0,0,0,0,0,0,0
r_0229,0,-1,0,-1,0,0,0,0,-1,-1,0,-1
r_0230,0,-1,0,-1,0,0,0,0,-1,0,-1,0
r_0231,0,0,0,0,0,0,0,0,0,0,0,0
r_0233,1,0,0,0,0,0,0,0,0,0,0,-1
r_0234,0,0,0,0,0,0,0,0,0,0,0,0
r_0235,0,0,0,0,0,0,0,0,0,0,0,0
r_0236,1,0,0,0,0,0,0,0,0,0,0,0
r_0237,1,0,0,0,0,0,0,0,0,0,0,0
r_0238,0,0,0,0,0,0,0,0,1,0,0,0
r_0239,0,0,0,0,0,0,0,0,1,0,0,0
r_0240,0,0,0,0,0,0,0,0,1,0,0,0
r_0241,0,0,0,0,0,0,0,0,1,0,0,0
r_0242,1,0,0,0,0,-1,0,0,0,0,0,0
r_0243,0,0,0,0,0,0,0,0,0,0,0,0
r_0244,0,0,0,0,0,0,0,0,0,0,1,0
r_0249,-1,-1,-1,0,0,0,0,0,0,0,0,0
r_0250,0,0,0,0,0,0,0,0,-1,-1,0,0
r_0252,1,0,1,1,0,0,1,1,0,0,0,1
r_0253,1,1,1,1,1,1,1,0,0,0,1,1
r_0254,1,1,1,1,1,1,1,0,0,0,1,1
r_0255,1,1,1,1,1,1,1,1,-1,1,1,0
r_0256,0,1,0,0,0,0,0,0,0,1,0,0
r_0259,0,0,0,-1,0,-1,0,0,0,0,0,0
r_0260,0,1,0,0,0,0,0,1,-1,0,0,1
r_0261,0,0,0,-1,0,-1,0,0,0,0,0,0
r_0262,0,1,0,0,0,0,0,1,-1,0,0,1
r_0263,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0264,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0265,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0266,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0267,0,1,0,0,0,0,0,1,-1,0,0,1
r_0268,0,1,0,0,0,0,0,1,-1,0,0,1
r_0269,0,1,0,0,0,0,0,1,-1,0,0,1
r_0270,0,1,0,0,0,0,0,1,-1,0,0,1
r_0271,1,0,1,1,0,0,0,0,1,0,1,0
r_0272,1,0,0,0,0,0,1,0,1,0,0,0
r_0273,0,0,1,0,0,0,0,0,-1,-1,0,0
r_0274,0,0,0,0,0,0,0,0,0,0,0,0
r_0278,-1,-1,0,-1,0,0,0,-1,0,0,0,0
r_0279,0,-1,0,-1,-1,0,0,-1,0,0,0,-1
r_0280,0,0,0,-1,0,-1,0,1,0,0,1,1
r_0281,1,1,1,1,0,0,1,0,0,0,1,0
r_0282,1,1,1,1,0,0,1,0,0,0,1,0
r_0283,1,1,1,1,0,0,1,0,0,0,1,0
r_0284,1,1,1,1,0,0,1,0,0,0,1,0
r_0285,1,1,1,1,0,0,1,0,0,0,1,0
r_0286,1,1,1,1,0,0,1,0,0,0,1,0
r_0287,1,1,1,1,0,0,1,0,0,0,1,0
r_0288,1,1,1,1,0,0,1,0,0,0,1,0
r_0289,1,1,1,1,0,0,1,0,0,0,1,0
r_0290,1,1,1,1,0,0,1,0,0,0,1,0
r_0291,1,1,1,1,0,0,1,0,0,0,1,0
r_0292,1,1,1,1,0,0,1,0,0,0,1,0
r_0293,1,1,1,1,0,0,1,0,0,0,1,0
r_0294,1,1,1,1,0,0,1,0,0,0,1,0
r_0295,1,1,1,1,0,0,1,0,0,0,1,0
r_0296,1,1,1,1,0,0,1,0,0,0,1,0
r_0297,1,1,1,1,0,0,1,0,0,0,1,0
r_0298,1,1,1,1,0,0,1,0,0,0,1,0
r_0299,1,1,1,1,0,0,1,0,0,0,1,0
r_0300,1,1,1,1,1,1,1,1,0,1,1,0
r_0301,1,0,1,1,1,1,1,1,1,1,1,1
r_0302,0,0,0,-1,0,-1,0,1,0,0,1,1
r_0303,0,0,0,-1,0,-1,0,1,0,0,1,1
r_0304,0,0,0,0,0,-1,0,0,1,0,0,1
r_0306,1,0,0,1,1,1,0,0,0,0,0,0
r_0307,1,0,0,1,1,1,0,0,0,0,0,0
r_0308,0,0,1,0,0,0,1,0,1,0,0,0
r_0309,-1,0,0,0,0,0,0,0,0,0,0,0
r_0310,-1,-1,0,0,0,0,0,0,0,0,0,0
r_0311,1,0,0,1,0,0,0,0,0,0,0,1
r_0312,0,-1,1,1,0,-1,-1,1,1,-1,0,0
r_0313,-1,0,0,0,0,0,0,0,0,0,0,0
r_0314,-1,0,0,0,0,0,0,0,0,0,0,0
r_0315,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0
r_0317,0,0,0,0,0,0,0,0,0,0,0,0
r_0318,0,0,0,0,0,0,0,0,0,0,0,0
r_0319,0,0,0,0,0,0,0,0,0,0,0,0
r_0320,1,1,1,1,1,0,0,0,0,1,0,0
r_0321,1,1,1,1,1,1,1,1,0,1,0,0
r_0322,1,0,0,1,0,0,0,1,0,0,0,0
r_0323,1,1,1,1,1,0,0,1,0,0,0,1
r_0326,-1,-1,-1,0,0,0,0,0,0,0,0,0
r_0327,-1,-1,-1,0,0,0,0,0,0,0,0,0
r_0328,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0
r_0329,-1,0,0,0,0,0,0,0,0,0,0,0
r_0330,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0331,-1,-1,-1,0,0,0,0,0,0,0,0,0
r_0332,1,1,1,1,0,0,0,0,0,0,1,0
r_0334,0,0,0,0,0,0,0,0,0,0,0,0
r_0335,0,0,0,0,0,0,0,0,0,0,0,0
r_0340,1,1,1,1,1,1,1,1,0,0,1,1
r_0341,1,1,1,1,1,1,1,1,0,0,1,1
r_0342,1,1,1,1,1,1,1,1,0,0,1,1
r_0343,1,1,1,1,1,1,1,1,0,0,1,1
r_0344,0,-1,0,0,-1,-1,-1,0,0,-1,0,0
r_0345,0,-1,0,0,-1,-1,-1,0,0,-1,0,0
r_0346,0,0,0,0,0,0,0,0,0,0,0,0
r_0347,-1,-1,0,-1,0,0,0,-1,0,0,-1,0
r_0348,1,0,0,0,0,0,0,0,0,0,0,0
r_0349,0,-1,0,-1,0,0,-1,-1,0,0,-1,-1
r_0350,-1,-1,0,-1,0,0,0,-1,0,0,-1,0
r_0351,-1,-1,0,-1,0,0,0,-1,0,0,-1,0
r_0352,0,0,0,0,0,0,0,-1,0,-1,-1,0
r_0353,0,0,0,0,0,0,0,-1,0,-1,-1,0
r_0354,1,1,1,1,1,1,1,0,0,1,0,0
r_0355,0,0,0,0,0,0,0,0,0,0,0,0
r_0356,1,1,0,-1,0,-1,0,0,0,1,0,0
r_0357,0,0,0,0,0,0,0,0,0,0,0,0
r_0358,0,0,0,0,0,0,0,0,1,1,0,0
r_0359,0,-1,0,0,0,0,0,0,0,0,0,0
r_0360,1,0,0,0,0,0,0,0,0,1,0,0
r_0361,1,0,0,0,0,0,0,0,0,0,0,0
r_0362,1,0,0,0,0,0,0,0,0,0,0,0
r_0363,0,-1,0,0,0,0,0,0,0,0,0,0
r_0364,0,0,0,0,0,0,0,0,0,0,0,0
r_0365,-1,0,0,0,0,0,0,0,0,0,0,0
r_0366,1,0,1,0,1,0,0,0,1,0,0,0
r_0368,0,0,1,0,0,0,0,0,0,0,0,0
r_0369,0,0,0,0,0,0,0,0,0,0,0,0
r_0370,1,1,0,1,0,0,0,1,0,0,0,0
r_0373,0,0,0,0,0,0,0,0,0,0,0,0
r_0399,1,0,1,0,0,0,0,0,0,0,0,0
r_0400,1,0,1,0,0,0,0,0,0,0,0,0
r_0402,1,0,1,0,0,0,0,0,0,0,0,0
r_0410,1,0,1,0,0,0,0,0,0,0,0,0
r_0412,1,0,1,0,0,0,0,0,0,0,0,0
r_0436,0,0,0,-1,0,0,0,0,0,0,0,0
r_0437,0,1,1,-1,1,0,0,0,-1,0,0,0
r_0438,0,0,0,0,0,0,0,0,0,0,0,0
r_0439,0,0,0,-1,0,0,0,0,-1,0,-1,-1
r_0440,1,0,0,0,0,0,0,0,0,0,0,0
r_0441,0,0,0,1,0,0,0,0,0,0,1,0
r_0442,0,0,0,1,0,0,0,0,0,0,1,0
r_0443,1,0,0,0,0,0,0,0,0,0,0,0
r_0445,0,0,0,0,0,0,0,0,0,0,0,0
r_0446,0,0,0,0,0,0,0,0,0,0,0,0
r_0447,-1,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1
r_0448,1,1,1,1,1,1,1,1,0,1,0,0
r_0449,1,1,1,0,0,0,0,0,1,0,0,0
r_0450,1,0,0,1,0,0,0,1,0,0,0,0
r_0451,1,0,1,1,1,0,0,0,0,0,0,0
r_0452,1,0,1,1,1,0,0,0,0,0,0,0
r_0453,0,-1,0,-1,0,0,-1,-1,0,0,-1,0
r_0454,1,0,0,1,0,0,0,0,0,0,1,0
r_0455,1,0,0,1,0,0,0,0,0,0,1,0
r_0457,1,1,1,1,0,0,1,1,0,1,1,0
r_0458,0,0,0,0,0,0,0,0,0,0,0,0
r_0459,0,0,0,0,0,0,0,0,0,0,0,0
r_0460,0,0,0,0,0,0,0,0,0,0,0,0
r_0461,0,0,0,0,0,0,0,0,0,0,0,0
r_0462,0,0,0,0,0,0,0,0,0,0,0,0
r_0463,1,1,1,1,1,1,1,1,0,1,1,1
r_0464,1,1,1,1,0,1,1,0,0,0,1,0
r_0465,0,0,0,0,0,0,0,0,0,0,0,0
r_0466,1,1,1,1,0,1,0,1,0,0,0,0
r_0467,0,0,0,0,1,0,0,0,1,0,0,0
r_0468,-1,-1,0,0,0,-1,0,0,0,0,0,0
r_0469,1,1,1,1,1,1,1,1,-1,1,1,1
r_0470,1,1,1,1,0,1,1,1,0,0,0,1
r_0471,1,0,1,1,1,0,1,0,1,0,1,1
r_0472,0,0,0,-1,0,0,0,0,0,0,0,0
r_0473,0,0,0,0,0,0,0,0,0,0,0,0
r_0475,1,0,0,0,0,0,0,0,0,0,0,0
r_0476,0,1,1,1,0,0,0,0,1,0,0,0
r_0477,1,0,0,0,0,0,1,0,0,0,0,0
r_0478,-1,-1,-1,-1,0,0,0,-1,0,0,0,0
r_0479,0,0,0,0,0,0,0,0,0,0,0,0
r_0480,0,0,0,0,0,0,0,0,0,0,0,0
r_0481,0,0,0,0,0,0,0,0,0,0,0,0
r_0482,0,0,0,0,0,0,0,0,0,0,0,0
r_0483,1,1,1,1,1,1,1,1,1,1,1,0
r_0484,0,0,0,0,0,0,0,0,0,0,0,0
r_0485,0,0,0,0,0,0,0,0,0,0,0,0
r_0486,1,1,1,1,1,0,0,0,0,0,1,0
r_0487,1,1,1,1,1,1,1,1,0,1,1,1
r_0488,0,0,0,0,0,0,0,0,-1,0,0,0
r_0489,0,1,0,1,1,1,0,1,0,1,0,1
r_0490,1,1,1,0,1,1,1,1,0,1,1,0
r_0491,1,1,1,1,1,1,0,1,0,1,1,0
r_0492,0,0,0,0,0,0,0,0,0,0,0,0
r_0497,1,0,1,0,0,0,0,0,1,1,0,0
r_0499,-1,-1,0,-1,0,0,0,0,0,-1,0,0
r_0500,0,0,0,0,0,0,0,0,0,0,0,0
r_0501,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0
r_0502,-1,0,-1,-1,0,-1,0,0,1,-1,0,0
r_0503,0,-1,0,-1,0,0,0,0,0,0,0,0
r_0504,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0
r_0505,1,1,0,0,1,0,0,0,-1,0,0,0
r_0506,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0
r_0507,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0
r_0508,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0
r_0509,-1,0,-1,-1,0,-1,0,0,-1,-1,0,0
r_0510,1,1,1,1,0,1,0,0,0,0,0,0
r_0511,0,0,0,0,0,0,0,0,0,0,0,0
r_0512,1,0,1,0,0,0,0,0,0,0,0,0
r_0514,-1,-1,0,0,0,0,0,-1,0,0,0,0
r_0518,0,0,0,0,0,0,0,0,0,0,0,0
r_0519,0,0,0,0,0,0,0,0,0,0,0,0
r_0520,1,0,1,0,0,0,0,0,0,0,0,0
r_0521,0,0,0,0,0,0,0,0,0,0,0,0
r_0522,-1,0,0,0,0,0,0,0,0,0,0,0
r_0523,0,0,0,0,0,0,0,0,0,0,0,0
r_0524,0,0,0,0,0,0,0,0,0,0,0,0
r_0525,1,0,1,0,0,0,0,0,0,0,0,0
r_0526,1,0,0,0,0,0,1,0,0,0,0,0
r_0527,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
r_0528,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0529,-1,0,-1,0,0,0,0,0,0,0,0,0
r_0530,0,1,1,0,1,1,1,1,0,1,1,0
r_0531,0,0,0,0,0,0,0,0,0,0,0,0
r_0532,0,0,0,0,0,0,0,0,0,0,0,0
r_0533,1,1,1,0,0,1,0,0,1,0,0,0
r_0534,1,1,1,1,1,1,0,1,1,1,0,0
r_0535,1,1,1,0,0,1,0,0,1,0,0,0
r_0536,-1,-1,0,1,0,-1,-1,0,1,0,1,1
r_0537,0,0,0,0,0,0,0,0,0,0,0,0
r_0538,0,0,0,1,0,-1,0,1,0,0,1,1
r_0539,-1,-1,0,0,0,0,0,0,0,0,0,0
r_0540,-1,-1,0,0,0,0,0,0,0,0,0,0
r_0541,-1,0,-1,0,0,-1,0,0,0,0,0,0
r_0542,0,0,0,-1,0,-1,0,0,0,-1,0,0
r_0543,0,0,0,1,0,0,0,0,1,0,0,0
r_0544,-1,-1,0,0,0,-1,-1,0,0,0,0,0
r_0545,0,0,0,1,0,0,0,0,0,0,0,0
r_0546,0,0,0,0,0,0,0,0,0,0,0,0
r_0547,0,0,0,0,0,0,0,0,0,0,0,0
r_0548,-1,-1,0,0,0,0,0,0,0,0,0,0
r_0549,0,0,0,1,1,-1,-1,1,1,-1,0,1
r_0550,1,1,1,0,0,0,0,0,-1,0,0,0
r_0551,1,1,1,0,1,0,0,0,0,0,1,0
r_0552,0,0,0,0,0,0,0,0,0,0,0,0
r_0553,1,1,0,0,0,0,0,0,0,0,1,0
r_0554,0,1,1,0,0,0,1,0,-1,0,0,0
r_0555,0,0,0,0,0,0,0,0,0,0,0,0
r_0556,1,0,1,1,0,0,0,0,0,0,0,0
r_0557,0,0,-1,-1,1,0,-1,0,-1,0,0,0
r_0558,0,0,0,0,0,0,0,0,0,0,0,0
r_0559,0,0,0,0,0,0,0,0,0,0,0,-1
r_0560,0,0,0,0,0,0,0,0,0,0,0,-1
r_0561,1,1,1,1,1,0,0,0,0,1,0,0
r_0562,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0
r_0563,-1,0,0,0,0,0,0,0,0,0,0,0
r_0564,-1,-1,0,0,0,0,0,0,0,-1,0,0
r_0565,-1,-1,0,0,0,1,0,-1,0,0,0,0
r_0566,0,0,0,0,0,0,0,0,0,0,0,0
r_0567,1,0,0,0,0,0,0,0,0,0,0,0
r_0568,0,0,0,0,0,0,0,0,0,0,0,0
r_0569,-1,1,0,0,0,0,-1,0,-1,0,0,0
r_0570,1,1,0,0,0,0,0,0,1,0,1,1
r_0571,1,0,0,0,0,-1,0,0,0,0,0,0
