Rxn name,opi3-del vs. wt,ram1-del vs. wt,cho2-del vs. wt,aco1-del vs. wt,pfk2-del vs. wt,ipk1-del vs. wt,vps15-del vs. wt,sis2-del vs. wt,arg82-del vs. wt,plc1-del vs. wt,rnr4-del vs. wt,pfk27-del vs. wt
r_0001,1,1,1,1,0,0,1,1,0,0,1,0
r_0002,0,0,0,0,0,0,0,0,0,0,0,0
r_0003,0,1,0,1,1,1,0,1,-1,0,0,0
r_0004,1,1,1,1,1,1,1,1,0,1,1,1
r_0005,1,1,1,1,0,0,1,1,1,1,1,1
r_0006,1,1,0,0,1,0,1,0,0,1,0,0
r_0007,-1,-1,-1,0,0,-1,-1,0,-1,0,0,0
r_0012,1,1,0,1,0,0,0,0,0,0,0,0
r_0013,0,0,0,0,0,0,0,0,0,0,0,0
r_0014,0,0,0,0,0,0,0,0,0,0,0,0
r_0015,0,0,0,0,0,0,0,0,0,0,0,0
r_0016,0,0,0,0,0,0,0,0,0,0,0,0
r_0017,-1,-1,0,-1,0,0,0,-1,0,0,-1,0
r_0018,1,0,1,0,0,0,0,0,0,0,0,0
r_0019,0,0,0,0,0,0,0,0,0,0,0,0
r_0020,-1,0,0,0,0,0,0,0,0,0,0,0
r_0021,0,0,0,0,0,0,0,0,0,0,0,0
r_0022,0,0,0,0,0,0,0,0,0,0,0,0
r_0023,0,-1,0,-1,1,-1,-1,-1,1,0,-1,-1
r_0024,0,0,0,0,0,0,0,0,0,0,0,0
r_0025,0,0,0,0,0,0,0,0,0,0,0,0
r_0026,1,1,1,1,0,0,1,1,1,1,1,1
r_0027,0,0,0,-1,0,-1,0,0,0,-1,0,0
r_0028,1,0,1,1,0,0,1,0,0,0,1,0
r_0029,1,1,1,1,0,0,1,1,0,0,1,1
r_0030,0,-1,0,-1,0,-1,0,-1,0,0,-1,-1
r_0032,0,0,0,0,0,0,0,0,1,0,0,0
r_0033,1,1,1,1,1,1,1,1,0,1,0,1
r_0034,-1,0,0,0,0,0,0,0,0,0,0,1
r_0035,-1,0,0,0,0,0,0,0,0,0,0,1
r_0036,-1,0,0,0,0,0,0,0,0,0,0,1
r_0037,-1,0,0,0,0,0,0,0,0,0,0,1
r_0038,0,0,0,1,0,0,0,0,0,0,0,0
r_0039,0,0,0,1,0,0,0,0,-1,0,1,1
r_0040,0,0,0,1,0,0,0,0,-1,0,1,1
r_0041,-1,0,-1,-1,0,0,0,0,0,0,-1,0
r_0042,-1,0,0,0,0,0,0,0,0,0,0,0
r_0043,0,0,0,0,0,0,0,0,0,0,0,0
r_0044,0,-1,0,0,0,0,0,0,0,-1,0,0
r_0045,0,1,1,0,1,0,0,0,0,1,0,0
r_0057,1,0,1,0,0,0,1,0,0,0,0,0
r_0058,0,1,1,1,1,0,0,1,0,0,1,0
r_0059,1,1,1,1,1,0,1,1,0,-1,1,1
r_0060,0,-1,0,-1,1,-1,-1,-1,1,0,-1,-1
r_0061,0,-1,0,0,0,0,0,0,0,0,0,0
r_0062,1,0,0,0,0,0,0,0,0,0,0,0
r_0063,0,0,0,0,0,0,0,0,0,0,0,0
r_0064,1,0,0,0,0,0,0,0,0,0,0,0
r_0065,0,0,0,1,0,0,0,0,-1,0,1,1
r_0066,0,0,0,0,0,0,0,0,0,0,0,0
r_0067,0,0,0,0,0,0,0,0,0,0,0,0
r_0068,1,1,1,1,1,1,1,1,0,1,1,1
r_0069,0,0,0,0,0,0,0,0,0,0,0,0
r_0070,0,0,0,0,0,0,0,0,0,0,0,0
r_0072,0,0,0,0,0,0,0,0,-1,0,0,0
r_0073,0,0,0,0,0,0,0,0,1,1,0,0
r_0074,0,0,0,0,0,0,0,0,1,1,0,0
r_0075,-1,-1,0,0,0,0,0,-1,0,0,0,0
r_0076,1,1,1,1,1,1,1,1,1,1,1,1
r_0077,0,0,0,0,0,0,0,0,1,0,0,0
r_0078,1,1,1,1,1,1,1,1,1,1,1,1
r_0079,-1,-1,-1,-1,0,-1,0,-1,0,-1,0,0
r_0080,0,1,0,0,0,0,0,0,0,0,0,0
r_0081,0,0,0,0,0,0,0,0,0,0,0,0
r_0082,0,0,0,0,0,0,0,0,0,0,0,0
r_0083,0,0,0,0,0,0,0,0,1,1,0,0
r_0084,0,0,0,0,0,0,0,0,0,0,0,0
r_0085,-1,0,-1,-1,0,-1,-1,0,0,-1,-1,0
r_0086,0,0,0,0,0,0,0,0,0,0,0,0
r_0087,-1,-1,0,0,-1,0,0,0,0,0,0,0
r_0088,0,0,0,0,0,0,0,0,1,1,0,0
r_0089,0,0,0,0,0,0,0,0,1,1,0,0
r_0090,1,1,1,1,1,0,0,1,1,1,1,1
r_0091,0,0,0,0,0,0,0,0,0,0,0,0
r_0092,0,0,0,0,0,0,0,0,1,1,0,0
r_0093,0,0,0,0,0,0,0,0,1,1,0,0
r_0094,0,0,0,0,0,0,0,0,0,0,0,0
r_0095,1,0,0,0,0,0,0,0,0,0,0,0
r_0096,0,0,0,0,0,-1,0,0,0,0,-1,0
r_0097,0,0,0,0,0,0,0,0,0,0,0,0
r_0099,0,0,0,0,0,0,0,1,0,0,0,0
r_0100,1,1,0,1,0,0,0,0,0,0,0,0
r_0101,1,1,0,1,0,0,0,0,0,0,0,0
r_0102,1,1,0,1,0,0,0,0,0,0,0,0
r_0103,0,-1,0,0,0,0,0,0,0,0,0,0
r_0104,0,-1,0,0,0,0,0,0,0,0,0,0
r_0105,1,1,0,1,0,0,0,0,0,0,0,0
r_0106,1,1,0,1,0,0,0,0,0,0,0,0
r_0107,1,1,0,1,0,0,0,0,0,0,0,0
r_0108,0,0,0,0,0,0,0,0,-1,0,0,0
r_0109,0,-1,0,-1,0,0,0,0,-1,0,-1,0
r_0111,1,1,1,0,1,0,0,0,-1,0,0,0
r_0112,1,1,1,1,1,0,1,1,0,1,0,1
r_0113,1,1,1,1,1,0,1,1,0,1,0,1
r_0114,0,0,0,-1,0,0,0,0,0,0,0,0
r_0115,0,-1,0,1,0,0,-1,0,1,-1,0,1
r_0116,0,0,0,0,0,0,0,0,1,1,1,0
r_0117,1,-1,1,1,-1,0,1,1,1,-1,1,1
r_0118,-1,-1,0,0,0,0,-1,0,1,0,0,0
r_0119,0,0,0,0,0,0,0,0,-1,0,0,0
r_0120,1,1,1,1,0,0,1,1,0,0,0,1
r_0121,1,1,1,1,0,0,1,1,0,0,0,1
r_0122,1,1,1,1,0,0,1,1,0,0,0,1
r_0123,1,1,1,1,0,0,1,1,0,0,0,1
r_0124,1,1,1,1,0,0,1,1,0,0,0,1
r_0125,1,1,1,1,0,0,1,1,0,0,0,1
r_0126,0,0,0,0,0,0,0,0,0,0,0,0
r_0127,1,0,1,0,0,0,0,0,0,0,0,0
r_0128,0,0,0,0,0,0,0,0,0,0,0,0
r_0129,0,0,0,0,0,0,0,0,0,0,0,0
r_0130,0,0,0,0,0,0,0,0,0,0,0,0
r_0131,0,0,0,0,0,0,0,0,0,0,0,0
r_0132,1,0,1,0,0,0,0,0,0,0,0,0
r_0133,0,0,0,0,0,0,0,0,0,0,0,0
r_0134,0,0,0,0,0,0,0,0,0,0,0,0
r_0135,0,0,0,0,0,0,0,0,0,0,0,0
r_0137,1,0,0,0,0,0,0,0,0,0,0,-1
r_0138,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0
r_0139,1,0,0,1,0,0,0,0,1,0,0,0
r_0140,-1,-1,-1,-1,0,-1,0,-1,-1,0,-1,0
r_0142,-1,-1,0,-1,0,0,0,0,0,0,0,0
r_0143,1,0,0,0,0,0,0,0,0,0,0,0
r_0144,0,0,0,0,0,0,0,0,0,0,0,0
r_0145,-1,-1,-1,-1,0,0,0,0,0,0,-1,0
r_0146,0,0,0,0,0,0,0,0,0,0,0,0
r_0147,0,1,0,0,0,1,0,0,-1,0,0,0
r_0148,0,0,0,0,0,0,0,0,0,0,0,0
r_0149,0,0,0,0,0,0,0,0,0,0,0,0
r_0150,0,0,0,0,0,0,0,0,0,0,0,0
r_0151,-1,-1,-1,0,0,-1,0,0,0,0,0,0
r_0152,-1,-1,-1,0,0,-1,0,0,0,0,0,0
r_0153,-1,-1,0,0,0,-1,0,0,1,0,1,0
r_0154,0,0,1,1,0,-1,0,1,1,0,0,0
r_0155,0,0,0,0,0,0,0,0,0,0,0,0
r_0156,1,1,1,0,1,1,0,0,-1,1,0,0
r_0157,-1,-1,-1,-1,0,0,0,0,0,0,0,0
r_0158,-1,-1,-1,0,0,0,0,-1,0,0,-1,0
r_0159,-1,-1,-1,0,0,0,0,-1,0,0,-1,0
r_0160,-1,-1,-1,0,0,0,0,-1,0,0,-1,0
r_0161,-1,-1,-1,0,0,0,0,-1,0,0,-1,0
r_0162,-1,-1,-1,0,0,0,0,-1,0,0,-1,0
r_0163,0,0,0,0,0,0,0,0,0,0,0,0
r_0164,1,1,1,1,1,1,1,1,0,1,1,0
r_0165,0,0,0,1,0,0,0,0,1,0,0,1
r_0166,1,1,0,1,1,0,0,1,1,0,0,1
r_0167,0,0,0,1,0,0,0,0,1,0,0,1
r_0168,1,0,0,1,1,1,0,0,0,0,0,0
r_0169,1,1,0,1,1,0,0,1,1,0,0,1
r_0170,0,0,0,1,0,0,0,0,1,0,0,1
r_0171,0,0,0,0,0,0,0,0,0,0,0,0
r_0172,1,1,1,1,1,1,1,1,0,1,1,1
r_0173,-1,0,0,-1,-1,0,-1,0,1,0,0,0
r_0174,1,1,1,1,1,1,1,1,0,1,0,1
r_0175,1,1,1,1,1,1,1,1,0,1,0,1
r_0176,1,1,1,1,1,1,1,1,0,1,0,1
