Rxn name,opi3-del vs. wt,ram1-del vs. wt,cho2-del vs. wt,aco1-del vs. wt,pfk2-del vs. wt,ipk1-del vs. wt,vps15-del vs. wt,sis2-del vs. wt,arg82-del vs. wt,plc1-del vs. wt,rnr4-del vs. wt,pfk27-del vs. wt
r_0001,0.001,0.001,0.001,0.001,0.0,0.0,0.36849999999425814,0.001,0.0,0.0,0.02664612953606138,0.0
r_0002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0003,-0.002,-0.001,-0.5522120580491675,-0.0009999999999763531,-0.001,-0.001,-0.0009999999989531716,-0.0009999999997489795,0.0,-0.9337668333464535,0.0,0.0
r_0004,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.001,0.001
r_0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0007,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0029999999997489786,0.001,0.0,0.001,0.001
r_0012,0.31446012117337907,0.001,0.001,0.001,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.0
r_0013,0.005,0.0,0.028999999998351997,0.017088666666252684,0.003999999996893166,0.004,0.003999999999497959,0.0,0.002,0.004,0.007999999999772628,0.009053199999062178
r_0014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0016,0.003,0.001999999999497959,0.001,0.007088666666619402,0.003,0.0,0.001,0.0019999999992705852,0.003,0.0,0.0,0.003
r_0017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0018,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0
r_0019,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0020,0.3968036804271593,0.004999999999881766,0.009000000000000001,0.010999999999971805,0.007999999998446583,0.004,0.012999999999246933,0.0,0.011999999999204647,0.00599999999811007,0.001,0.005000000000364706
r_0021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0023,-0.004,-0.0029999999992469384,-0.003,-0.004,-0.09129411765023765,0.0,-0.001999999999497959,-0.0029999999985648174,-0.002999999999294232,-0.001999999998815838,0.0,-0.004
r_0024,0.005,0.0029999999992469384,0.001,0.004,0.0,0.0,0.002999999999497959,0.0029999999985648174,0.0,0.001999999998815838,0.0,0.004
r_0025,0.0,0.0,0.002,0.0,0.09129411765023765,0.0,0.0,0.0,0.002999999999294232,0.0,0.0,0.0
r_0026,0.003,0.0,0.027999999998351996,0.015088666666252684,0.001999999996893166,0.004,0.002999999999497959,0.0,0.001,0.003,0.007000000000023649,0.008053199999313199
r_0027,0.001,0.001,0.001,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.001,0.0
r_0028,0.017999999999497956,0.0,0.001,0.001,0.0,0.001,0.0009999999999763566,0.0009999999992942321,0.001,0.0,0.001,0.0
r_0029,0.004,0.0029999999992469384,0.003,0.004,0.09129411765023765,0.0,0.001999999999497959,0.0029999999985648174,0.002999999999294232,0.001999999998815838,0.0,0.004
r_0030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0032,0.045999999999725344,0.003999999999327431,0.005000000000000003,0.006,0.057980392156395354,0.001,0.004999999999535376,0.003999999999294027,0.0029999999997871772,0.005,0.004999999999413374,0.005999999999270587
r_0033,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0,0.001,0.0,0.001
r_0034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
r_0037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
