,fold,val_n_pos,val_n_neg,mip_gap,lambda,norel,eps,n_rxns,total_error,abs_val_err,TP,TN,FP,FN,TPR_RECALL,PPV_PRECISION,F1,seed
0,0,1170,330,0.1,0.1,120,0.001,1570,4209.0000029999965,1534.0,267,2791,631,903,0.228,0.297,0.258,0
1,1,1217,341,0.1,0.1,120,0.001,1554,4273.0,1472.0,255,2864,510,962,0.21,0.333,0.257,0
2,2,1130,337,0.1,0.1,120,0.001,1595,4056.0,1534.0,264,2793,668,866,0.234,0.283,0.256,0
3,3,1154,344,0.1,0.1,120,0.001,1679,4111.0,1519.0,274,2798,639,880,0.237,0.3,0.265,0
4,4,1181,335,0.1,0.1,120,0.001,1550,3991.9999999909614,1568.0,263,2760,650,918,0.223,0.288,0.251,0
