,noise,test_frac,lambd
199,0.5,0.2,10.0
200,0.5,0.3,0.0
201,0.5,0.3,0.01
202,0.5,0.3,0.1
203,0.5,0.3,0.5
204,0.5,0.3,1.0
205,0.5,0.3,2.0
206,0.5,0.3,5.0
207,0.5,0.3,10.0
208,0.5,0.4,0.0
209,0.5,0.4,0.01
210,0.5,0.4,0.1
211,0.5,0.4,0.5
212,0.5,0.4,1.0
213,0.5,0.4,2.0
214,0.5,0.4,5.0
215,0.5,0.4,10.0
216,0.5,0.5,0.0
217,0.5,0.5,0.01
218,0.5,0.5,0.1
219,0.5,0.5,0.5
220,0.5,0.5,1.0
221,0.5,0.5,2.0
222,0.5,0.5,5.0
223,0.5,0.5,10.0
224,0.5,0.6,0.0
225,0.5,0.6,0.01
226,0.5,0.6,0.1
227,0.5,0.6,0.5
228,0.5,0.6,1.0
229,0.5,0.6,2.0
230,0.5,0.6,5.0
231,0.5,0.6,10.0
232,0.5,0.7,0.0
233,0.5,0.7,0.01
234,0.5,0.7,0.1
235,0.5,0.7,0.5
236,0.5,0.7,1.0
237,0.5,0.7,2.0
238,0.5,0.7,5.0
239,0.5,0.7,10.0
240,0.5,0.8,0.0
241,0.5,0.8,0.01
242,0.5,0.8,0.1
243,0.5,0.8,0.5
244,0.5,0.8,1.0
245,0.5,0.8,2.0
246,0.5,0.8,5.0
247,0.5,0.8,10.0
248,0.5,0.9,0.0
249,0.5,0.9,0.01
250,0.5,0.9,0.1
251,0.5,0.9,0.5
252,0.5,0.9,1.0
253,0.5,0.9,2.0
254,0.5,0.9,5.0
255,0.5,0.9,10.0
256,1.0,0.2,0.0
257,1.0,0.2,0.01
258,1.0,0.2,0.1
259,1.0,0.2,0.5
260,1.0,0.2,1.0
261,1.0,0.2,2.0
262,1.0,0.2,5.0
263,1.0,0.2,10.0
264,1.0,0.3,0.0
265,1.0,0.3,0.01
266,1.0,0.3,0.1
267,1.0,0.3,0.5
268,1.0,0.3,1.0
269,1.0,0.3,2.0
270,1.0,0.3,5.0
271,1.0,0.3,10.0
272,1.0,0.4,0.0
273,1.0,0.4,0.01
274,1.0,0.4,0.1
275,1.0,0.4,0.5
276,1.0,0.4,1.0
277,1.0,0.4,2.0
278,1.0,0.4,5.0
279,1.0,0.4,10.0
280,1.0,0.5,0.0
281,1.0,0.5,0.01
282,1.0,0.5,0.1
283,1.0,0.5,0.5
284,1.0,0.5,1.0
285,1.0,0.5,2.0
286,1.0,0.5,5.0
287,1.0,0.5,10.0
288,1.0,0.6,0.0
289,1.0,0.6,0.01
290,1.0,0.6,0.1
291,1.0,0.6,0.5
292,1.0,0.6,1.0
293,1.0,0.6,2.0
294,1.0,0.6,5.0
295,1.0,0.6,10.0
296,1.0,0.7,0.0
297,1.0,0.7,0.01
298,1.0,0.7,0.1
299,1.0,0.7,0.5
300,1.0,0.7,1.0
301,1.0,0.7,2.0
302,1.0,0.7,5.0
303,1.0,0.7,10.0
304,1.0,0.8,0.0
305,1.0,0.8,0.01
306,1.0,0.8,0.1
307,1.0,0.8,0.5
308,1.0,0.8,1.0
309,1.0,0.8,2.0
310,1.0,0.8,5.0
311,1.0,0.8,10.0
312,1.0,0.9,0.0
313,1.0,0.9,0.01
314,1.0,0.9,0.1
315,1.0,0.9,0.5
316,1.0,0.9,1.0
317,1.0,0.9,2.0
318,1.0,0.9,5.0
319,1.0,0.9,10.0
320,2.0,0.2,0.0
321,2.0,0.2,0.01
322,2.0,0.2,0.1
323,2.0,0.2,0.5
324,2.0,0.2,1.0
325,2.0,0.2,2.0
326,2.0,0.2,5.0
327,2.0,0.2,10.0
328,2.0,0.3,0.0
329,2.0,0.3,0.01
330,2.0,0.3,0.1
331,2.0,0.3,0.5
332,2.0,0.3,1.0
333,2.0,0.3,2.0
334,2.0,0.3,5.0
335,2.0,0.3,10.0
336,2.0,0.4,0.0
337,2.0,0.4,0.01
338,2.0,0.4,0.1
339,2.0,0.4,0.5
340,2.0,0.4,1.0
341,2.0,0.4,2.0
342,2.0,0.4,5.0
343,2.0,0.4,10.0
344,2.0,0.5,0.0
345,2.0,0.5,0.01
346,2.0,0.5,0.1
347,2.0,0.5,0.5
348,2.0,0.5,1.0
349,2.0,0.5,2.0
350,2.0,0.5,5.0
351,2.0,0.5,10.0
352,2.0,0.6,0.0
353,2.0,0.6,0.01
354,2.0,0.6,0.1
355,2.0,0.6,0.5
356,2.0,0.6,1.0
357,2.0,0.6,2.0
358,2.0,0.6,5.0
359,2.0,0.6,10.0
360,2.0,0.7,0.0
361,2.0,0.7,0.01
362,2.0,0.7,0.1
363,2.0,0.7,0.5
364,2.0,0.7,1.0
365,2.0,0.7,2.0
366,2.0,0.7,5.0
367,2.0,0.7,10.0
368,2.0,0.8,0.0
369,2.0,0.8,0.01
370,2.0,0.8,0.1
371,2.0,0.8,0.5
372,2.0,0.8,1.0
373,2.0,0.8,2.0
374,2.0,0.8,5.0
375,2.0,0.8,10.0
376,2.0,0.9,0.0
377,2.0,0.9,0.01
378,2.0,0.9,0.1
379,2.0,0.9,0.5
380,2.0,0.9,1.0
381,2.0,0.9,2.0
382,2.0,0.9,5.0
383,2.0,0.9,10.0
384,5.0,0.2,0.0
385,5.0,0.2,0.01
386,5.0,0.2,0.1
387,5.0,0.2,0.5
388,5.0,0.2,1.0
389,5.0,0.2,2.0
390,5.0,0.2,5.0
391,5.0,0.2,10.0
392,5.0,0.3,0.0
393,5.0,0.3,0.01
394,5.0,0.3,0.1
395,5.0,0.3,0.5
396,5.0,0.3,1.0
397,5.0,0.3,2.0
398,5.0,0.3,5.0
399,5.0,0.3,10.0
400,5.0,0.4,0.0
401,5.0,0.4,0.01
402,5.0,0.4,0.1
403,5.0,0.4,0.5
404,5.0,0.4,1.0
405,5.0,0.4,2.0
406,5.0,0.4,5.0
407,5.0,0.4,10.0
408,5.0,0.5,0.0
409,5.0,0.5,0.01
410,5.0,0.5,0.1
411,5.0,0.5,0.5
412,5.0,0.5,1.0
413,5.0,0.5,2.0
414,5.0,0.5,5.0
415,5.0,0.5,10.0
416,5.0,0.6,0.0
417,5.0,0.6,0.01
418,5.0,0.6,0.1
419,5.0,0.6,0.5
420,5.0,0.6,1.0
421,5.0,0.6,2.0
422,5.0,0.6,5.0
423,5.0,0.6,10.0
424,5.0,0.7,0.0
425,5.0,0.7,0.01
426,5.0,0.7,0.1
427,5.0,0.7,0.5
428,5.0,0.7,1.0
429,5.0,0.7,2.0
430,5.0,0.7,5.0
431,5.0,0.7,10.0
432,5.0,0.8,0.0
433,5.0,0.8,0.01
434,5.0,0.8,0.1
435,5.0,0.8,0.5
436,5.0,0.8,1.0
437,5.0,0.8,2.0
438,5.0,0.8,5.0
439,5.0,0.8,10.0
440,5.0,0.9,0.0
441,5.0,0.9,0.01
442,5.0,0.9,0.1
443,5.0,0.9,0.5
444,5.0,0.9,1.0
445,5.0,0.9,2.0
446,5.0,0.9,5.0
447,5.0,0.9,10.0
