,C3L-00144,C3N-00175,C3N-00560,C3N-02089,C3N-00580,C3L-00095,C3N-01030,C3N-01489,C3L-00080,C3L-00279
CTBP1,2.2051005,-0.70614564,-1.0684807,-0.7391106,-1.0240452,-0.48794934,-0.9000146,0.039720308,0.10224428,0.003054421
CTNNB1,-0.09922559,-0.10555677,-1.0710144,1.5695761,-1.2033929,0.2192924,0.5493601,1.6317073,-1.826697,-0.49942112
CUX1,-0.35559574,-0.2455872,-0.22945432,0.15690175,1.2556416,0.005466653,0.7637715,1.0319004,-0.855169,0.28054857
DAXX,-0.10638012,0.72675115,0.54773045,0.7583224,0.43754196,0.99859875,0.3916647,0.32884052,0.11765117,-0.65998936
DLX5,0.40623903,0.6188348,0.08357071,0.90646905,0.37090185,1.123642,3.0817842,1.8410257,0.018909702,1.4560335
DNMT1,-1.3591859,-1.58051,0.625816,-1.4176935,-2.1047685,-0.81938356,-1.7036952,-1.588637,-2.4455884,-2.5743165
E2F1,4.632419,1.442573,4.6367106,3.9176056,3.6246178,2.1920412,3.314197,2.3781018,2.082459,1.2422773
E2F5,0.014004535,0.104002126,0.08441675,1.7718891,0.44538888,0.28263223,-1.3871657,1.2458766,0.2888293,0.7459173
ELF3,0.19700615,-0.14869604,0.16377595,1.3752785,0.09993004,-0.0825636,2.8997376,2.2618532,-0.4446332,-0.9929799
ELK1,1.7170426,0.14411722,1.2345918,0.1511543,1.2114071,0.051951304,0.6122954,0.97724456,0.11093848,-0.65722823
ELK3,-0.66580313,1.023523,0.4010896,-0.35088375,-1.8111882,-0.5299065,0.67415583,-1.2485056,0.001630848,-0.49200392
ELK4,-0.3568605,-0.4519624,-0.8618015,-0.727826,-0.52244043,-0.3629715,-0.30470097,-0.3953186,-0.34855643,-0.6602154
ENO1,1.1369461,0.85128754,0.85267615,-0.139993,0.49784368,0.66016257,1.1290016,2.1288893,0.64297795,1.0547196
EP300,1.5320957,-0.15139844,0.44389105,-1.2732129,-0.092854746,1.477829,-0.056384493,1.6257682,-0.25962135,0.7645464
ERF,0.43905511,0.29728568,-1.2984996,-0.12659436,0.3008354,-0.3085345,0.11588766,0.30640274,-0.4406146,-0.003048081
ESR1,0.6405516,0.90490013,0.8269161,1.3205062,1.4325638,0.6453522,2.2220204,2.0493028,-2.55185,-0.12507944
ETS1,1.0643615,-0.82301337,-0.5078336,-0.37791848,-1.1006058,0.657573,0.88873565,0.35428074,-2.2803652,-0.15265232
ETS2,2.3240702,0.78764945,-0.5336165,-0.8881921,0.28364474,0.17160375,1.3557274,1.6621217,-0.98843014,0.60332644
ETV4,1.5111724,0.6751133,0.49684262,0.5868715,0.47813705,1.3376136,2.5761476,1.8892564,-1.030384,0.5385251
ETV6,-2.1793911,-2.0798907,-1.2452214,-1.2461481,-0.40244254,-0.92903167,-0.15018882,-0.66815275,0.0013533324,-1.0948951
EZH2,1.2224313,0.42337722,0.76755756,-0.53608495,1.4547299,0.7935529,0.9930398,0.4648449,-0.73816794,0.5395655
FOS,-2.1084871,-1.270705,-2.3418653,-1.2443051,0.20789622,0.45697,0.05956195,-0.37682378,-3.513275,-2.020888
FOSL1,2.2410717,3.0600336,1.2010218,0.050882027,1.84399,1.9692869,2.4577298,2.1987138,0.80444974,1.6446652
FOXA2,-0.6571113,-1.4953399,-1.3001289,-0.17757438,-1.672049,-1.0936098,-1.4925321,-1.6437852,-0.90660274,-1.3225046
FOXM1,0.74093634,-0.75065976,-0.0902012,-0.27184722,-0.58174086,-0.6898195,0.24479888,-0.1329318,-1.4962031,-0.026425185
FOXO1,-1.7830007,-2.655605,-2.315287,-1.0242956,-2.9652278,-1.4356655,-0.43531165,-1.402314,-1.9066496,-1.7786281
FOXO3,-1.6134949,-1.838794,-2.089818,-1.0668561,-2.0982006,-0.44924372,-0.7469527,-1.7381914,-2.6436508,-1.8910708
FOXO4,-1.0210319,-1.3634877,-1.2995394,0.98401445,-1.8113332,-0.055433925,-0.60976523,-1.4342241,-0.5635496,-0.8566991
FOXO6,-1.8547363,0.2544075,-1.930047,0.27106392,-1.0441133,0.85074013,-0.23680617,0.14033101,0.30499682,-0.35736483
FOXP3,0.06690606,-0.17370366,0.581576,1.4761766,0.05244757,-0.27056855,0.15577655,0.696512,-0.62889576,-0.30064625
GABPA,0.66896415,0.28742442,0.6545025,0.64653933,-0.5247713,0.122402124,-0.29411593,-0.7060722,0.18098362,0.472487
GATA1,-3.3176875,-1.5574869,-3.4017055,-2.8256705,-3.4858043,-1.5131738,-2.4129012,-1.5250216,-0.8833589,-1.9837072
GATA2,-3.4310713,-1.9751577,-2.9279099,-2.2663,-3.3340192,-1.3058114,-1.6651412,-0.5842012,-2.400778,-2.1906786
GATA4,-0.744358,-1.6711969,-0.8792288,-1.0231887,-3.6242619,-0.7829711,-2.2085354,0.58336645,-1.9732528,-1.2638037
GATA6,-0.58032763,-1.387966,-0.05088323,-1.2226596,-1.5592991,-1.5908117,-0.96551824,-0.6101735,-1.3419083,-0.7959244
GLI1,0.11410911,-1.197536,0.04038166,-0.70895875,-1.7425748,0.47299236,-0.2424171,0.7158134,0.41663143,-0.4360867
GLI2,0.042860202,-1.8324387,0.8123589,-0.21384892,-0.63979656,-1.310982,-0.84579873,-0.2909287,0.8727943,-1.5801673
GLI3,-1.0087327,-0.4226101,-1.7925836,-0.6114453,-0.35345143,-1.076778,-0.2850056,0.17134205,-1.1476359,-0.14341627
GTF2I,-0.46232557,-0.87229127,0.4762191,-1.3638736,-0.30059084,-0.5339146,0.4223723,0.4099897,-0.20003657,-0.27114302
HAND1,-0.5154937,0.42105153,-0.21335259,0.24349062,1.3866774,-1.4644784,-0.27942613,0.2439364,-0.80161816,0.091592014
HDAC4,0.2861478,-1.991335,-0.7610733,-0.5591051,0.3820986,-2.352404,-1.33767,-0.7680815,0.5046498,-1.6278759
HDAC5,0.6565798,-0.48617867,1.1524057,1.3881128,2.7631638,-1.7320504,0.91548365,-0.048233006,-0.31464884,-0.9324806
HDAC7,-0.2554359,-0.21760331,1.2261847,0.005068612,0.32410908,0.50864404,-0.44768915,0.7861477,0.950529,0.83950984
HDAC9,1.2088385,0.9495328,0.48235303,1.6616184,1.615509,1.6222117,0.5858693,1.7573498,0.9417217,1.7459384
HIF1A,0.038440563,0.6798403,-0.26003048,-0.6341628,-1.4461436,-0.081579715,1.6751482,1.250803,-2.1370304,-1.063055
HIPK2,-0.64804244,-0.61454546,-0.6874809,-0.42616555,-0.2695546,-0.22548072,-1.3364244,-0.92571676,-1.1067351,-1.0840039
HMGA1,-0.7082717,-0.35125893,-0.40536267,0.07548105,0.38956112,0.068761185,-0.47284886,0.61558896,-1.3719492,-0.39120242
HMGA2,0.9580973,-0.63877344,0.12243408,0.052178025,0.08431321,-0.4580398,1.0767342,0.92942333,-1.8356086,-0.56613606
HNF1A,-0.6671111,-1.3384353,-1.3863903,6.117087,-0.9281138,-0.5854555,-1.9095467,-0.25676456,-1.7145499,0.36496213
HNF4A,-1.7596366,-1.7395246,-0.61450994,2.5999932,-2.3904994,-1.4299452,-0.7098677,-1.1065865,-2.4200199,-2.1108432
HSF1,-1.59871,-2.6232386,-1.3899133,-0.751423,-0.3387663,-0.9879093,0.20956258,-0.29161748,-1.9919579,-2.6770267
ID2,0.8046175,-0.2090002,0.9131378,0.6370917,0.10540948,0.8108369,0.8819483,1.311886,-1.2424076,0.31991237
ID3,0.29990467,0.7222335,0.6433887,0.20482074,1.0757376,0.12491362,0.705196,0.41596368,0.0032795856,1.5503148
IRF3,-0.8888682,-0.5489454,-0.5372206,-0.90802085,-0.8447424,0.10828349,0.3095885,-0.21502411,-1.5155193,-0.31709173
IRF4,-0.5152362,-1.7639699,-1.4571561,0.17950448,-1.0595069,1.0883275,-0.31519705,-1.0404269,-0.4863703,-0.29870933
IRF5,-0.6713296,0.18940276,-0.8634856,0.74578047,-1.3774948,0.56051403,-0.02920172,-0.52705425,-0.47284362,-0.22622511
IRF7,-0.35656852,-1.7822094,-0.66081333,0.7899126,0.08898565,-0.30080417,0.40843782,-0.73540413,-0.5994132,-0.44492695
JUN,-2.003793,-1.8287125,-1.3407515,-1.1194732,-0.5835356,1.2942345,0.25924093,1.3275275,-4.0804815,-1.6995852
JUND,0.6736766,0.63706475,-1.261135,-0.05663194,-0.458002,2.403323,1.0203148,0.5902491,-0.68226296,0.30249304
KAT5,-0.510039,-0.19777723,0.0048614573,0.5690078,-0.04578095,-0.39360425,-0.6583543,0.260281,-1.4916123,-0.60565406
KAT7,-0.024402298,-0.53226244,-0.20159097,-0.49062064,-0.5970363,0.6662099,0.14070405,1.7004142,-1.3413867,0.5511039
KLF5,0.834541,0.73272246,0.26376337,0.53062856,1.7245699,0.06406463,1.3175468,0.68318015,-1.2814125,0.2667122
KMT2A,-0.3308792,0.22732285,1.0725499,1.0299274,0.6377359,-0.2331198,0.637754,1.1081077,-1.0943072,1.0274806
LEF1,1.8472044,1.0145187,1.4210534,1.969007,0.59861875,2.3674774,1.9411472,1.7796704,0.67227274,0.58293235
MAF,-0.6551659,-0.10673445,0.6191517,-0.5035836,-0.21136469,0.39157742,0.09285144,2.1954076,0.53861177,0.29285774
MAFA,-1.3272301,-0.44997108,-1.2736918,-0.2050697,-0.5878318,-0.9065797,0.25627387,0.906308,1.1728734,-1.1095668
MAFB,1.6963743,0.6958893,1.4625716,2.253363,1.5438809,1.7632612,2.1174753,2.3584137,-0.21339655,2.875898
MAML1,0.2606848,-0.06466569,-0.24004528,-0.32852748,-0.5896921,-0.22306046,-0.56610864,-0.11008092,0.06975187,-0.1035016
MAZ,2.4555492,1.0356812,0.73951435,0.2636219,-0.7407286,0.48576695,1.6788099,-0.4383297,-0.8378259,0.9884436
MED1,1.4878159,0.42821395,-1.3765494,-0.26956558,-0.9046174,0.381503,0.97901905,-1.2171205,0.5352583,-0.27542368
MEF2A,-0.9191837,-0.6306945,-3.1368625,-2.7244816,-1.8534458,0.56668395,-0.38631687,-0.52396727,-3.4734607,0.7245819
MEF2C,0.70538473,-0.9690427,0.2713532,-1.7575057,-2.5499918,0.6807622,-1.4208949,-0.75722533,-0.6104589,2.465747
MEF2D,-0.8008186,-1.3049389,-2.320005,-1.2827901,-1.517997,-0.7081233,-1.6756989,-0.17570831,-1.4876661,0.7860222
MITF,-1.8054194,-1.966127,-1.6728551,-1.9614354,-2.6492755,0.1676841,-0.3395755,-1.1485404,-1.9739611,-1.0061502
MNX1,2.0754461,-1.0479995,0.12730208,0.78892964,-0.7878683,0.2095421,0.22556652,-0.5507309,0.34386978,-1.0963787
MXD1,-0.3421029,0.65270704,-0.57612973,0.18813722,0.6284971,0.7704726,-0.86578727,0.32387555,-0.34940147,0.14721107
