,lambda,type,intersection_edges,union_edges,node_union,int_kinases,jaccard,seed
0,0.0,single,11,514,265,1,0.0019455252918287938,0
1,0.0,multi,17,435,251,1,0.0022988505747126436,0
2,0.1,single,7,464,247,1,0.0021551724137931034,0
3,0.1,multi,19,364,245,2,0.005494505494505495,0
4,0.2,single,1,450,240,0,0.0,0
5,0.2,multi,15,362,243,1,0.0027624309392265192,0
6,0.3,single,1,438,238,0,0.0,0
7,0.3,multi,20,341,240,2,0.005865102639296188,0
8,0.4,single,2,426,234,1,0.002347417840375587,0
9,0.4,multi,24,333,240,0,0.0,0
10,0.5,single,2,397,229,1,0.0025188916876574307,0
11,0.5,multi,25,316,237,2,0.006329113924050633,0
12,0.6,single,0,369,220,0,0.0,0
13,0.6,multi,28,307,234,2,0.006514657980456026,0
14,0.7,single,0,329,206,0,0.0,0
15,0.7,multi,28,297,229,3,0.010101010101010102,0
16,0.8,single,0,301,197,0,0.0,0
17,0.8,multi,28,292,228,7,0.023972602739726026,0
18,0.9,single,0,270,173,0,0.0,0
19,0.9,multi,30,285,228,4,0.014035087719298246,0
20,1.0,single,0,239,168,0,0.0,0
21,1.0,multi,29,277,226,5,0.018050541516245487,0
0,0.0,single,10,510,264,1,0.00196078431372549,1
1,0.0,multi,13,435,253,1,0.0022988505747126436,1
2,0.1,single,5,466,251,1,0.002145922746781116,1
3,0.1,multi,23,368,245,1,0.002717391304347826,1
4,0.2,single,1,452,244,0,0.0,1
5,0.2,multi,22,360,245,1,0.002777777777777778,1
6,0.3,single,1,435,236,0,0.0,1
7,0.3,multi,22,343,242,0,0.0,1
8,0.4,single,2,429,236,1,0.002331002331002331,1
9,0.4,multi,28,328,237,1,0.003048780487804878,1
10,0.5,single,2,401,230,1,0.0024937655860349127,1
11,0.5,multi,22,318,237,3,0.009433962264150943,1
12,0.6,single,0,364,220,0,0.0,1
13,0.6,multi,32,309,234,5,0.016181229773462782,1
14,0.7,single,0,334,206,0,0.0,1
15,0.7,multi,33,305,235,4,0.013114754098360656,1
16,0.8,single,0,301,196,0,0.0,1
17,0.8,multi,24,289,228,3,0.010380622837370242,1
18,0.9,single,0,271,176,0,0.0,1
19,0.9,multi,34,281,228,6,0.021352313167259787,1
20,1.0,single,0,249,170,0,0.0,1
21,1.0,multi,28,278,226,5,0.017985611510791366,1
0,0.0,single,12,499,264,1,0.002004008016032064,2
1,0.0,multi,13,452,256,1,0.0022123893805309734,2
2,0.1,single,3,465,250,1,0.002150537634408602,2
3,0.1,multi,17,383,247,1,0.0026109660574412533,2
4,0.2,single,1,445,240,0,0.0,2
5,0.2,multi,25,361,246,1,0.002770083102493075,2
6,0.3,single,1,443,237,0,0.0,2
7,0.3,multi,18,348,243,1,0.0028735632183908046,2
8,0.4,single,2,427,234,1,0.00234192037470726,2
9,0.4,multi,20,346,240,1,0.002890173410404624,2
10,0.5,single,2,403,228,1,0.0024813895781637717,2
11,0.5,multi,32,327,238,5,0.01529051987767584,2
12,0.6,single,0,363,218,0,0.0,2
13,0.6,multi,32,312,233,5,0.016025641025641024,2
14,0.7,single,0,338,208,0,0.0,2
15,0.7,multi,35,292,228,3,0.010273972602739725,2
