,C3L-00144,C3N-00175,C3N-00560,C3N-02089,C3N-00580,C3L-00095,C3N-01030,C3N-01489,C3L-00080,C3L-00279
ABL1,0.69495505,1.1284171,-1.1346359,-0.74727553,-0.799529,-1.9237058,-1.5427908,0.86132795,1.3895079,-1.8446637
AKT1,0.27498448,0.36669,0.4928132,2.2082243,0.93892276,-2.2443013,3.1382806,3.685886,0.420463,-0.7413513
AKT2,0.8840412,-0.5402641,1.6041499,1.6312042,1.6098458,0.3411981,1.4872426,0.4623471,1.8237479,-0.59349227
AKT3,-2.1518955,-1.4579521,-0.6347828,1.9701793,2.292131,0.33101618,2.5329463,1.3795757,-0.06306094,1.4203802
ALK,-0.102852166,-0.985386,-0.09817757,0.8262138,2.3214533,0.15111169,0.99938947,0.13854241,-0.17515156,0.16713661
ARAF,0.4876753,-0.15650466,0.22352557,-0.5983064,0.4020418,-3.8636491,0.992807,-0.3167579,0.8164517,0.15691781
ATM,0.2512349,1.3365494,1.1370643,1.2008257,-1.0365478,0.78040326,-0.7703226,-0.3069981,-1.0363389,-0.498406
ATR,1.6571953,3.3833733,-1.2482738,-0.5301105,-0.045711655,0.97201127,-0.43489155,1.5573179,-0.64980465,-1.8941404
AURKA,0.98887813,-0.65598303,1.572271,-0.01652763,-1.0190985,-1.367039,-0.65299636,-0.43896395,-0.09917121,2.0641444
AURKB,-0.6048872,0.6055512,2.3753717,-1.3425438,-2.2108324,-0.09126399,-1.659822,-0.09190375,-1.2625996,-1.059926
BRAF,1.0433095,2.5586746,-1.4339625,0.00027485113,1.0377357,-0.4945086,0.91548896,0.11436245,-0.9950403,0.21976879
BTK,1.9333237,-1.3860817,-0.09817666,0.6793938,-0.27097413,-2.4398093,-1.8426247,0.1502804,-0.17515044,0.16713548
BUB1,-0.53568727,0.16642503,1.0037687,0.08720994,-0.15747042,-0.767174,0.3264654,-0.6161947,0.48042044,0.23133415
CDC7,1.3453726,0.57433224,-0.17009196,2.5835264,-2.0815246,0.47620365,-0.26255184,1.2930452,0.33511484,-0.6516353
CDK1,0.06493476,-1.1536171,-0.6708871,1.0080808,0.6525514,-2.5830584,-1.501285,1.5598373,0.069105074,-1.5153606
CDK10,-1.7710048,-0.65243083,-1.7121515,-1.2472801,-0.90663564,-1.0602119,-0.09260825,3.189373,-0.085901,-0.2733569
CDK2,0.9033469,-0.84235704,1.9014633,5.567614,3.1912096,-2.1806417,-1.1588379,0.22699702,0.021681113,-1.8157727
CDK20,-1.7397201,-0.64032626,-1.6817054,-1.2448279,-0.91125494,-1.0212393,-0.10466758,3.1168916,-0.100650184,-0.2513544
CDK3,-1.4410152,-1.5859834,-1.6292558,-0.6626161,-0.9217713,-1.3448422,1.2710078,2.985138,0.3905582,-0.21002425
