,dataset,num_samples,mode,old_multicond,beta,max_time,norel_time,seed,acyclic_signal_version,total_time,total_error,diff_edges,edge_ratio,prop_common_edges,prop_diff_edges,sparsity,multi_single,b_value,mt_value,norel_value,norm_edges,norm_error,max_norm_edges,dist
22,../GSE186341-PANACEA.tsv.xz,7,multi,,0.2,7200,1800,0,True,4961.545023918152,0.0625,142,0.4127906976744186,0.0352112676056338,0.3943661971830985,0.3295829984820073,multi,0.2,7200,1800,0.012679703544959372,0.008928571428571428,0.42136498516320475,0.015507877667274697
25,../GSE186341-PANACEA.tsv.xz,7,multi,,0.25,7200,1800,0,True,5129.181168079376,0.0625,144,0.4161849710982659,0.0208333333333333,0.3680555555555556,0.3294044111081347,multi,0.25,7200,1800,0.012858290918832038,0.008928571428571428,0.42729970326409494,0.01565423371195219
24,../GSE186341-PANACEA.tsv.xz,7,multi,,0.05,7200,1800,0,True,6284.666244029999,0.0625,145,0.3908355795148248,0.0275862068965517,0.2896551724137931,0.3293151174211983,multi,0.05,7200,1800,0.012947584605768373,0.008928571428571428,0.4302670623145401,0.01572766145612984
6,../GSE186341-PANACEA.tsv.xz,7,multi,,0.1,7200,1800,0,True,7216.63920378685,0.0625,149,0.4293948126801152,0.0201342281879194,0.3892617449664429,0.3289579426734529,multi,0.1,7200,1800,0.013304759353513707,0.008928571428571428,0.4421364985163205,0.016022983779871103
38,../GSE186341-PANACEA.tsv.xz,7,single,,0.1,7200,0,0,True,226.09853720664975,0.0625,210,0.7216494845360825,0.0,0.7238095238095238,0.98124832574337,single,0.1,7200,0,0.018751674256630057,0.008928571428571428,0.6231454005934718,0.02076883904270685
28,../GSE186341-PANACEA.tsv.xz,7,single,,0.2,7200,0,0,True,220.0901801586151,0.0625,212,0.7285223367697594,0.0,0.7547169811320755,0.9810697383694972,single,0.2,7200,0,0.018930261630502723,0.008928571428571428,0.629080118694362,0.020930222004421874
27,../GSE186341-PANACEA.tsv.xz,7,single,,0.05,7200,0,0,True,223.93852710723877,0.0625,214,0.7353951890034365,0.0,0.7429906542056075,0.9808911509956246,single,0.05,7200,0,0.01910884900437539,0.008928571428571428,0.6350148367952522,0.021091882277955193
46,../GSE186341-PANACEA.tsv.xz,7,single,,0.15,7200,0,0,True,219.6683020591736,0.0625,215,0.738831615120275,0.0,0.7581395348837209,0.9808018573086884,single,0.15,7200,0,0.019198142691311725,0.008928571428571428,0.6379821958456974,0.02117281442206179
11,../GSE186341-PANACEA.tsv.xz,7,multi,,0.35,7200,1800,0,True,7218.931433200836,0.1207885489871847,141,0.4504792332268371,0.0212765957446808,0.3829787234042553,0.3296722921689436,multi,0.35,7200,1800,0.012590409858023038,0.017255506998169242,0.41839762611275966,0.02136049957648162
18,../GSE186341-PANACEA.tsv.xz,7,multi,,0.3,7200,1800,0,True,7215.645503044128,0.125,139,0.407624633431085,0.014388489208633,0.3669064748201439,0.3298508795428163,multi,0.3,7200,1800,0.01241182248415037,0.017857142857142856,0.4124629080118694,0.021746974235476273
